,Unnamed: 0,AgriDemand,CommercialDemand,Conflict,Country,CurrentHVLineDist,CurrentMVLineDist,EducationDemand,ElecPop,ElectrificationOrder,Elevation,GHI,GridCellArea,HealthDemand,Hydropower,HydropowerDist,HydropowerFID,IsUrban,LandCover,NightLights,PerCapitaDemand,PlannedHVLineDist,PlannedMVLineDist,Pop,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,RoadDist,Slope,SubstationDist,TransformerDist,TravelHours,WindVel,X_deg,Y_deg,id,Admin1,GDP,Cat_1,Cat_2,Cat_3,Unc,Prim,Sec,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025,Pop2030,Pop2020,ElecStart,GridDistCalibElec,FinalElecCode2020,Commercial_Multiplier,MiniGridLCOE,PVCapacity,DieselCapacity,BatteryCapacity,NPC
280,280,0,0,0,Sierra Leone,94.361,0.0,0.0,0.0,0,366.11106,1988.5337,0.112,0.0,154.767,13.42809,115,0,8,0.0,0,43.246,0.0,962.17241,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,0.0,1.25209,94.343,9999,2.83139,2.77892,-11.84566,9.91431,281,Northern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.004194708209247,1192.7490533262935,0.0,1258.0561468622163,1326.9390273201373,1192.7490533262935,0,0.0,99,0.375,0.279,76.4,32.5,141.4,449071
16180,16198,0,0,0,Sierra Leone,160.746,15.208,0.0,0.0,0,119.81536,1811.0,0.078,0.0,4535.81,4.67754,128,0,2,0.0,0,3.04,15.208,977.51539,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,154.57501220703125,0.0,0.68429,169.877,9999,1.1593,2.79883,-11.30787,7.5908,16212,Eastern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0044115259347778,1211.768851316764,0.0,1278.1173438988098,1348.098643565413,1211.768851316764,0,15.208,99,0.4125,0.262,100.5,34.3,71.5,411100
19912,19933,0,0,0,Sierra Leone,5.185,6.4,0.0,0.0,0,54.66765,1855.0,0.121,1460.0,755.486,10.71674,64,0,8,0.0,0,5.185,6.4,848.66924,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,133.5500030517578,0.0,0.56568,72.855,9999,0.87836,2.93997,-12.62229,8.7004,19957,Northern,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.0061562622703778,1052.045789379,0.0,1109.648897576356,1170.4059731271238,1052.045789379,0,6.4,99,0.46875,0.289,94.2,27.3,83.2,392949
18722,18740,0,0,0,Sierra Leone,0.0,3.624,0.0,844.53696,0,292.5,1796.5,0.575,0.0,1150.68,42.70461,147,0,2,2.4801130294799805,0,0.0,3.624,844.53696,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,411.07998046875,0.0,4.83258,8.098,9999,0.05,3.06861,-13.20355,8.43304,18764,Western Area,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.141803222449539,0.0080771596695806,1046.92324272639,1046.9056830986303,1104.2458739596675,1164.7071154724813,1046.92324272639,0,3.624,99,0.48,0.279,94.3,31.0,67.9,378359
19203,19224,0,0,0,Sierra Leone,110.381,0.0,0.0,0.0,0,77.21217,1826.09849,0.754,1460.0,172.204,6.04602,34,2,14,0.0,0,47.304,0.0,7532.93437,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,158.7800048828125,0.0,0.5699,133.393,9999,0.16605,2.73612,-11.70837,7.86402,19246,Southern,1.8,1.0,0.0,0.0,0.0,0.0,0.0,1.141803222449539,0.0037522941500676,9338.13965689018,0.0,10889.480985505408,12698.546015660471,9338.13965689018,0,0.0,99,0.48,0.268,832.9,265.2,555.7,3249718
18142,18160,0,0,0,Sierra Leone,51.491,18.442,0.0,0.0,0,67.05244,1889.02622,0.104,0.0,495.262,9.06616,96,0,8,0.0,0,34.096,18.442,1773.58283,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,7.400000095367432,2.717,0.52681,89.736,9999,2.20087,3.02129,-12.74474,9.1275,18184,Northern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.0073328757668124,2198.607255302892,0.0,2318.988528522435,2445.961088524557,2198.607255302892,0,18.442,99,0.375,0.277,168.1,65.2,161.9,783109
11712,11726,0,0,0,Sierra Leone,96.195,0.0,0.0,0.0,0,176.0598,1877.97757,0.104,0.0,209.962,6.09366,53,0,2,0.0,0,29.213,0.0,1006.1172,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,175.60000610351562,0.0,2.23589,98.156,9999,1.34975,2.56221,-11.34294,8.26727,11728,Eastern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0022707330379654,1247.2248480241717,0.0,1315.51467779439,1387.543609505556,1247.2248480241717,0,0.0,99,0.4125,0.272,91.3,37.4,89.1,436156
19046,19067,0,0,0,Sierra Leone,157.025,0.0,10840.5,681.1613203448276,0,200.39558,1864.41445,2.258,1460.0,888.867,6.91988,50,2,14,0.6004622578620911,0,42.82,0.0,19753.67829,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,236.7636496803977,0.0,0.5187,155.213,9999,0.91287,2.96729,-10.69373,8.09887,19089,Eastern,1.7272727272727273,1.0,0.0,0.0,4.0,2.0,1.0,1.141803222449539,0.0065372679704947,24487.483568677315,801.1188553025074,28555.579216170176,33299.50593265534,24487.483568677315,1,0.0,1,0.4772727272727273,0.243,1501.6,692.1,1435.0,7610012
15665,15683,0,0,0,Sierra Leone,128.079,1.917,0.0,0.0,0,82.49763,1803.13615,0.052,0.0,464.172,15.41424,27,0,2,0.0,0,30.831,1.917,878.17937,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,175.60000610351562,1.685,0.66984,149.319,9999,0.9151,2.83644,-11.63207,7.72299,15696,Southern,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180710378266303,0.0048405305205028,1088.62777744602,0.0,1148.233874712837,1211.103609840996,1088.62777744602,0,1.917,99,0.4875,0.26,87.8,30.9,64.3,366436
19463,19484,0,0,0,Sierra Leone,110.922,13.195,0.0,0.0,0,87.0,1963.0,0.164,0.0,6152.68,32.63487,166,0,8,0.0,0,34.911,13.195,1002.34276,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,0.0,0.58828,111.281,9999,2.25,1.94492,-12.37976,9.83645,19508,Northern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081157163930403,0.0001317520352003,1242.5458947616926,0.0,1310.5795358243947,1382.3382516193556,1242.5458947616926,0,13.195,99,0.375,0.276,72.3,39.6,106.4,436025
19761,19782,0,0,0,Sierra Leone,47.778,24.433,0.0,0.0,0,9.0,1898.0,0.146,0.0,1289.29,17.94719,157,0,11,0.0,0,47.778,24.433,966.93064,8.0625,45.62499999999999,167.29166666666663,441.0416666666666,623.5416666666666,91.5,3.354,0.54454,47.697,9999,2.1,3.97464,-13.16943,8.914,19806,Northern,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06690609198879,0.0313007580144363,1198.6475537083702,0.0,1264.277610331205,1333.501137210573,1198.6475537083702,0,24.433,99,0.4125,0.269,93.2,35.4,78.6,415606
